Group hierarchy,Region,Service,Upfront,Monthly,First 12 months total,Currency,Configuration summary
My Estimate,US East (N. Virginia),Amazon RDS for MySQL,0,3882.256,46587.07,USD,"Quantity (2), Storage for each RDS instance (Provisioned IOPS SSD (io1)), Storage amount (100 GB), Instance type (db.r5.4xlarge), Additional backup storage (2 TB), Provisioning IOPS (1000)"
My Estimate,US East (N. Virginia),S3 Standard,0,117.76,1413.12,USD,S3 Standard storage (5 TB per month)
My Estimate,US East (N. Virginia),Data Transfer,0,0,0,USD," Inbound (from: Not selected) 0 TB per month 
 Outbound (to: Not selected) 0 TB per month 
"
My Estimate,US East (N. Virginia),Amazon Route 53,0,369,4428,USD,Number of Elastic Network Interfaces (4)
My Estimate,US East (N. Virginia),Elastic Load Balancing,0,178.85,2146.2,USD,Number of Application Load Balancers (2)
My Estimate,US East (N. Virginia),Amazon Virtual Private Cloud (VPC),0,157.86,1894.32,USD,Number of NAT Gateways (2)
My Estimate,US East (N. Virginia),Amazon EC2,0,1834.71,22016.52,USD,"Operating system (Linux), Quantity (4), Storage for each EC2 instance (Provisioned IOPS SSD (io1)), Storage amount (2 TB), Provisioning IOPS (1000), Instance type (t3a.2xlarge)"
My Estimate,US East (N. Virginia),Amazon CloudWatch,0,300,3600,USD,
My Estimate,US East (N. Virginia),Amazon EC2,0,2007.58,24090.96,USD,"Operating system (Linux), Quantity (4), Storage for each EC2 instance (Provisioned IOPS SSD (io1)), Storage amount (2 TB), Provisioning IOPS (1000), Instance type (m4.2xlarge)"
My Estimate,US East (N. Virginia),Amazon Elastic IP,0,7.3,87.6,USD,"Number of EIPs per instance (2), Number of EC2 instances (2)"
,,,,,,,
Total Cost,,,,8855.316,,,
,,,,,,,
"AWS Pricing Calculator provides only an estimate of your AWS fees and doesn't include any taxes that might apply. Your actual fees depend on a variety of factors, including your actual usage of AWS services.",,,,,,,
